"id","nama","kecamatan_id","longitude","latitude"
"371","PANTON BILI","1103041",NULL,NULL
"372","LADANG TEUNGOH","1103041",NULL,NULL
"373","PUCUK KRUENG","1103041",NULL,NULL
"374","MATA IE","1103041",NULL,NULL
"375","UJUNG BATU","1103041",NULL,NULL
"376","PANTE RAJA","1103041",NULL,NULL
"377","JAMBO PAPAN","1103042",NULL,NULL
"378","KOTO INDARUNG","1103042",NULL,NULL
"379","SIURAI URAI","1103042",NULL,NULL
"380","MALAKA","1103042",NULL,NULL
"381","LAWE MELANG","1103042",NULL,NULL
"382","KOTO","1103042",NULL,NULL
"383","KAMPUNG SAWAH","1103042",NULL,NULL
"384","KAMPUNG PADANG","1103042",NULL,NULL
"385","PULO AIR","1103042",NULL,NULL
"386","MERSAK","1103042",NULL,NULL
"387","SIMPANG DUA","1103042",NULL,NULL
"388","SIMPANG TIGA","1103042",NULL,NULL
"389","ALUR KEJRUN","1103042",NULL,NULL
"390","GUNUNG KERAMBIL","1103050",NULL,NULL
"391","AIR BERUDANG","1103050",NULL,NULL
"392","LHOK KETAPANG","1103050",NULL,NULL
"393","HILIR","1103050",NULL,NULL
"394","PASAR","1103050",NULL,NULL
"395","PADANG","1103050",NULL,NULL
"396","TEPI AIR","1103050",NULL,NULL
"397","HULU","1103050",NULL,NULL
"398","JAMBO APHA","1103050",NULL,NULL
"399","LHOK BENGKUANG","1103050",NULL,NULL
"400","BATU ITAM","1103050",NULL,NULL
"401","PANJUPIAN","1103050",NULL,NULL
"402","LHOK RUKAM","1103050",NULL,NULL
"403","AIR PINANG","1103050",NULL,NULL
"404","PANTON LUAS","1103050",NULL,NULL
"405","LHOK BENGKUANG TIMUR","1103050",NULL,NULL
"406","UJUNG TANAH","1103060",NULL,NULL
"407","PAYONAN GADANG","1103060",NULL,NULL
"408","LUBUK LAYU","1103060",NULL,NULL
"409","SUAQ HULU","1103060",NULL,NULL
"410","LUAR","1103060",NULL,NULL
"411","UJUNG KAMPUNG","1103060",NULL,NULL
"412","TAMPANG","1103060",NULL,NULL
"413","JILATANG","1103060",NULL,NULL
"414","AIR SIALANG HULU","1103060",NULL,NULL
"415","AIR SIALANG TENGAH","1103060",NULL,NULL
"416","AIR SIALANG HILIR","1103060",NULL,NULL
"417","SUBARANG","1103060",NULL,NULL
"418","GUNUNG KETEK","1103060",NULL,NULL
"419","KOTA BARU","1103060",NULL,NULL
"420","MADAT","1103060",NULL,NULL
"421","DALAM","1103060",NULL,NULL
"422","TENGAH","1103060",NULL,NULL
"423","BALAI","1103060",NULL,NULL
"424","BARU","1103060",NULL,NULL
"425","GADANG","1103060",NULL,NULL
"426","LADANG KASIK PUTIH","1103060",NULL,NULL
"427","LADANG PANTON LUAS","1103060",NULL,NULL
"428","ALUR SIMERAH","1103060",NULL,NULL
"429","ALUR PINANG","1103060",NULL,NULL
"430","GUNUNG CUT","1103060",NULL,NULL
"431","KUTA BLANG","1103060",NULL,NULL
"432","BATEE TUNGGAI","1103060",NULL,NULL
"433","ARAFAH","1103060",NULL,NULL
"434","SAWANG BAU","1103070",NULL,NULL
"435","UJUNG PADANG","1103070",NULL,NULL
"436","KUTA BARO","1103070",NULL,NULL
"437","SIMPANG III","1103070",NULL,NULL
"438","BLANG GELINGGANG","1103070",NULL,NULL
"439","MEULIGO","1103070",NULL,NULL
"440","SAWANG I","1103070",NULL,NULL
"441","SAWANG II","1103070",NULL,NULL
"442","UJUNG KARANG","1103070",NULL,NULL
"443","LHOK PAWOH","1103070",NULL,NULL
"444","PANTON LUAS","1103070",NULL,NULL
"445","TRIENG MEUDURO TUNONG","1103070",NULL,NULL
"446","TRIENG MEUDURO BAROH","1103070",NULL,NULL
"447","SIKULAT","1103070",NULL,NULL
"448","MUTIARA","1103070",NULL,NULL
"449","ALUE MEUTUAH","1103080",NULL,NULL
"450","LHOK AMAN","1103080",NULL,NULL
"451","LADANG BARO","1103080",NULL,NULL
"452","LABUHAN TAROK","1103080",NULL,NULL
"453","TANJUNG HARAPAN","1103080",NULL,NULL
"454","KUTA BARO","1103080",NULL,NULL
"455","KEUDE MEUKEK","1103080",NULL,NULL
"456","ARON TUNGGAI","1103080",NULL,NULL
"457","BLANG BLADEH","1103080",NULL,NULL
"458","BLANG TEUNGOH","1103080",NULL,NULL
"459","IE BUBOH","1103080",NULL,NULL
"460","KUTA BULOH II","1103080",NULL,NULL
"461","KUTA BULOH I","1103080",NULL,NULL
"462","IE DINGEN","1103080",NULL,NULL
"463","DRIEN JALO","1103080",NULL,NULL
"464","JAMBO PAPEUN","1103080",NULL,NULL
"465","BUKET MEUH","1103080",NULL,NULL
"466","ALUE BARO","1103080",NULL,NULL
"467","ROT TEUNGOH","1103080",NULL,NULL
"468","BLANG KUALA","1103080",NULL,NULL
"469","LADANG TUHA","1103080",NULL,NULL
"470","LHOK MAMPLAM","1103080",NULL,NULL
"471","LABUHAN TAROK II","1103080",NULL,NULL
"472","PADANG BARU","1103090",NULL,NULL
"473","LEMBAH BARU","1103090",NULL,NULL
"474","TENGAH BARU","1103090",NULL,NULL
"475","PAWOH","1103090",NULL,NULL
"476","APHA","1103090",NULL,NULL
"477","PASAR LAMA","1103090",NULL,NULL
"478","PADANG BAKAU","1103090",NULL,NULL
"479","BAKAU HULU","1103090",NULL,NULL
